2018-02-23 15:03:39.264 INFO  ProxyRunner:33 - 启动定时更新代理服务...
2018-02-23 15:03:41.111 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:03:41.331 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:03:41.331 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:03:41.334 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:03:41.334 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:03:41.335 INFO  ProxyApi:44 - 获取代理ip: 60.213.105.38
2018-02-23 15:03:41.335 INFO  ProxyApi:45 - 获取代理port: 65092
2018-02-23 15:03:46.473 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:03:46.608 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:03:46.608 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:03:46.609 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:03:46.626 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:03:46.627 INFO  ProxyApi:44 - 获取代理ip: 115.213.207.140
2018-02-23 15:03:46.627 INFO  ProxyApi:45 - 获取代理port: 29605
2018-02-23 15:03:51.736 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:03:51.851 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:03:51.851 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:03:51.851 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:03:51.852 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:03:51.852 INFO  ProxyApi:44 - 获取代理ip: 122.4.28.102
2018-02-23 15:03:51.852 INFO  ProxyApi:45 - 获取代理port: 53205
2018-02-23 15:03:56.954 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:03:57.97 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:03:57.97 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:03:57.98 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:03:57.98 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:03:57.99 INFO  ProxyApi:44 - 获取代理ip: 59.38.241.236
2018-02-23 15:03:57.99 INFO  ProxyApi:45 - 获取代理port: 27722
2018-02-23 15:04:02.235 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:02.361 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:02.361 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:02.362 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:02.362 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:02.362 INFO  ProxyApi:44 - 获取代理ip: 27.204.87.41
2018-02-23 15:04:02.362 INFO  ProxyApi:45 - 获取代理port: 14324
2018-02-23 15:04:07.446 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:07.656 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:07.656 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:07.656 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:07.656 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:07.656 INFO  ProxyApi:44 - 获取代理ip: 117.69.99.103
2018-02-23 15:04:07.657 INFO  ProxyApi:45 - 获取代理port: 38372
2018-02-23 15:04:12.746 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:12.881 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:12.881 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:12.882 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:12.882 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:12.882 INFO  ProxyApi:44 - 获取代理ip: 180.118.244.198
2018-02-23 15:04:12.882 INFO  ProxyApi:45 - 获取代理port: 62658
2018-02-23 15:04:17.979 INFO  HttpUtil:63 - 卡死位置1
2018-02-23 15:04:18.88 INFO  HttpUtil:68 - 卡死位置2
2018-02-23 15:04:18.88 INFO  HttpUtil:73 - 卡死位置3
2018-02-23 15:04:18.89 INFO  HttpUtil:78 - 卡死位置4
2018-02-23 15:04:18.89 INFO  HttpUtil:81 - 卡死位置5
2018-02-23 15:04:18.89 INFO  ProxyApi:44 - 获取代理ip: 118.112.102.93
2018-02-23 15:04:18.89 INFO  ProxyApi:45 - 获取代理port: 63187
