2018-02-23 17:25:49.885 INFO  TaskDaemon:23 - 开启守护线程...
2018-02-23 17:25:49.889 INFO  TaskDaemon:31 - 定时更新代理配置, proxy_ip:59.173.72.90, proxy_port:43867
2018-02-23 17:25:49.891 INFO  TaskRunner:45 - 任务线程开始执行...
2018-02-23 17:25:49.892 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/people/0000178a1dd1e0ee50effa832c74d1f2/activities#is_task_url=1，当前层深：1
2018-02-23 17:25:49.904 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:49.904 INFO  AbstractPlugin:37 - https://www.zhihu.com/people/0000178a1dd1e0ee50effa832c74d1f2/activities#is_task_url=1 开始运行...
2018-02-23 17:25:50.900 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:59.173.72.90, proxy_port:43867
2018-02-23 17:25:50.902 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:51.772 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=3c1798e917c84c9d98dfd1ec1e1325d5|1519377951000|1519377951000; path=/; expires=Mon, 22 Feb 2021 09:25:51 GMT; domain=zhihu.com; httponly". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:51 GMT
2018-02-23 17:25:51.773 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=8ae226dfb18645deaa4ea19b496a1284|1519377951000|1519377951000; path=/; expires=Mon, 22 Feb 2021 09:25:51 GMT; domain=zhihu.com; httponly". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:51 GMT
2018-02-23 17:25:51.774 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:51.774 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:51.810 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:51.811 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:51.812 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:51.813 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:51.915 INFO  ZhihuPlugin:90 - 解析任务完成...
2018-02-23 17:25:52.216 INFO  TaskRunner:54 - 当前任务URL：https://www.zhihu.com/people/huang-ling-87-25/activities，当前层深：2
2018-02-23 17:25:52.216 INFO  PluginFactory:136 - 找到解析插件：plugins.ZhihuPlugin
2018-02-23 17:25:52.216 INFO  AbstractPlugin:37 - https://www.zhihu.com/people/huang-ling-87-25/activities 开始运行...
2018-02-23 17:25:52.221 INFO  HttpUtil:230 - 使用代理下载，proxy_ip:59.173.72.90, proxy_port:43867
2018-02-23 17:25:52.221 INFO  HttpUtil:65 - 卡死位置1
2018-02-23 17:25:52.876 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=e550d15ea00a420d8e9fdeb5b72cd4a7|1519377952000|1519377952000; path=/; expires=Mon, 22 Feb 2021 09:25:52 GMT; domain=zhihu.com; httponly". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:52 GMT
2018-02-23 17:25:52.877 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=9ca92eadb1f84e3c87fc2105dbe3db21|1519377952000|1519377952000; path=/; expires=Mon, 22 Feb 2021 09:25:52 GMT; domain=zhihu.com; httponly". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:52 GMT
2018-02-23 17:25:52.877 WARN  ResponseProcessCookies:130 - Invalid cookie header: "Set-Cookie: q_c1=aae9fab23bdd439e8fdb4b0a14744c95|1519377952000|1519377952000; path=/; expires=Mon, 22 Feb 2021 09:25:52 GMT; domain=zhihu.com; httponly". Invalid 'expires' attribute: Mon, 22 Feb 2021 09:25:52 GMT
2018-02-23 17:25:52.877 INFO  HttpUtil:70 - 卡死位置2
2018-02-23 17:25:52.878 INFO  HttpUtil:75 - 卡死位置3
2018-02-23 17:25:53.32 INFO  HttpUtil:80 - 卡死位置4
2018-02-23 17:25:53.32 INFO  HttpUtil:83 - 卡死位置5
2018-02-23 17:25:53.32 INFO  AbstractPlugin:41 - 开始解析详情页...
2018-02-23 17:25:53.32 INFO  ZhihuPlugin:36 - 开始解析数据...
2018-02-23 17:25:53.51 INFO  ZhihuPlugin:90 - 解析任务完成...
